what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407296960330
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1407296966540
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407296974286
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407296988343
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1407296995439
error,log,,,"assertion failed: ",1407296996591
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1407297002526
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297024780
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297040912
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297042799
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297044238
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297046167
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297048553
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1407297052094
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1407297058954
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1407297064390
activated,view,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.ui.explorer",1407297089977
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1407297089999
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1407297154502
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1407297163504
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297228881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297240091
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1407297244518
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297259200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297264076
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1407297271395
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1407297358840
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1407297363401
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297366569
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297634348
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1407297637532
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1407297638892
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1407297639932
activated,editor,org.eclipse.php.ui,2.2.1.v20101001-2300,"org.eclipse.php.editor",1407297641040
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297642456
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297650331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297650399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297652968
started,bundle,org.zend.php.zendserver.deployment.debug.ui,1.0.0.201108170924,"org.zend.php.zendserver.deployment.debug.ui",1407297653028
started,bundle,org.zend.php.zendserver.deployment.debug.core,1.0.0.201108170924,"org.zend.php.zendserver.deployment.debug.core",1407297653030
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.preferences"".",1407297653130
started,bundle,org.zend.php.zendserver.deployment.core,1.0.0.201108170924,"org.zend.php.zendserver.deployment.core",1407297653131
started,bundle,org.zend.php.zendserver.deployment.ui,1.0.0.201108170924,"org.zend.php.zendserver.deployment.ui",1407297653244
error,log,,,"Unhandled event loop exception",1407297653285
error,log,,,"Unhandled event loop exception",1407297680670
executed,command,org.eclipse.php.server.ui,2.2.0.v20101001-2300,"org.eclipse.php.server.ui.phpServerShortcut.run",1407297698856
error,log,,,"Unhandled event loop exception",1407297698874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297704912
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297712129
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297712210
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297714838
executed,command,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.deubg.ui.phpexeShortcut.run",1407297714851
error,log,,,"Unhandled event loop exception",1407297717165
error,log,,,"Unhandled event loop exception",1407297719115
error,log,,,"Unhandled event loop exception",1407297719653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297720427
error,log,,,"Unhandled event loop exception",1407297720543
error,log,,,"Unhandled event loop exception",1407297720545
error,log,,,"Unhandled event loop exception",1407297720557
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297720567
error,log,,,"Unhandled event loop exception",1407297722708
error,log,,,"Unhandled event loop exception",1407297723433
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297723971
error,log,,,"Unhandled event loop exception",1407297723994
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297724004
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297727911
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297784212
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1407297788897
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1407297788924
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1407297835610
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1407297842761
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1407298089390
